canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,type,units,value
CCN(CCCCCCN1C(=O)c2cccc3cccc(c23)C1=O)Cc1ccccc1OC,CHEMBL488590,IC50,nM,53.5,IC50,nM,53.5
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CHEMBL502,IC50,nM,23.1,IC50,nM,23.1
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,CHEMBL659,IC50,nM,2010.0,IC50,nM,2010.0
CC[N+](C)(CC)CCC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21.[I-].[I-],CHEMBL345124,IC50,nM,32300.0,IC50,nM,32300.0
O=c1c2ccccc2nc2n1CCC2,CHEMBL456881,IC50,nM,82500.0,IC50,uM,82.5
COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,CHEMBL502,IC50,nM,20.0,IC50,uM,0.02
COc1ccc(C(=O)c2ccc(CN(C)Cc3ccccc3)cc2)cc1OC,CHEMBL490507,IC50,nM,460.0,IC50,uM,0.46
CCN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,CHEMBL470907,IC50,nM,570.0,IC50,uM,0.57
COc1ccc(C(=O)c2ccc(CN(CCO)Cc3ccccc3)cc2)cc1OC,CHEMBL511468,IC50,nM,1410.0,IC50,uM,1.41
COc1ccc(C(=O)c2ccc(CN(C)Cc3ccccc3)cc2)cc1F,CHEMBL474837,IC50,nM,1570.0,IC50,uM,1.57
COc1ccc(C(=O)c2ccc(CN(C)Cc3cccc(C)c3)cc2)cc1OC,CHEMBL471581,IC50,nM,1650.0,IC50,uM,1.65
COc1ccc(C(=O)c2ccc(CN(C)Cc3ccccc3)cc2)cc1,CHEMBL514966,IC50,nM,1820.0,IC50,uM,1.82
COc1ccc(C(=O)c2ccc(/C=C/CN(C)Cc3ccccc3)cc2)cc1OC,CHEMBL474836,IC50,nM,2100.0,IC50,uM,2.1
COc1ccc(C(=O)c2ccc(CN(C)CCN(C)C)cc2)cc1OC,CHEMBL491526,IC50,nM,2370.0,IC50,uM,2.37
COc1ccccc1CN(C)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,CHEMBL513236,IC50,nM,3710.0,IC50,uM,3.71
COc1ccc(C(=O)c2ccc(CN(C)Cc3cccc([N+](=O)[O-])c3)cc2)cc1OC,CHEMBL490360,IC50,nM,4270.0,IC50,uM,4.27
COc1ccc(C(=O)c2ccc(CN(CCN(C)C)Cc3ccccc3)cc2)cc1OC,CHEMBL492098,IC50,nM,8640.0,IC50,uM,8.64
CN(Cc1ccccc1)Cc1ccc(C(=O)c2ccc3ccccc3c2)cc1,CHEMBL491562,IC50,nM,19600.0,IC50,uM,19.6
C#CCN(C)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,CHEMBL491527,IC50,nM,27200.0,IC50,uM,27.2
CCN(CC)Cc1ccc(C(=O)c2ccc(OC)c(OC)c2)cc1,CHEMBL523311,IC50,nM,36800.0,IC50,uM,36.8
COc1ccc(C(=O)c2ccc(CN3CCc4ccccc4C3)cc2)cc1OC,CHEMBL491528,IC50,nM,54000.0,IC50,uM,54.0
COc1ccc(C(=O)c2ccc(CN3CCOCC3)cc2)cc1OC,CHEMBL491346,IC50,nM,345000.0,IC50,uM,345.0
CCOC(=O)C1=C(C)Nc2nc3c(c(N)c2[C@H]1c1ccc(OC)cc1)CCCC3,CHEMBL490359,IC50,nM,36.0,IC50,nM,36.0
